projectid;CURRENT.DATE;simulationid;DevStage1;DevStage2;TSUM1;TSUM2;Yield1_per_sqm;Yield2_per_sqm;Yield1_per_fraction;Yield2_per_fraction;TotalYield_per_sqm;LAI1;LAI2;InterceptedPAR1_per_sqm;InterceptedPAR2_per_sqm;InterceptedPAR1_per_fraction;InterceptedPAR2_per_fraction;TotalInterceptedPAR;Height1;Height2
TestProject;24.08.1987;TestProject_00__TESTSIMULATION;1.6533900786347666;1.15690056022409;1254.8500000000004;748.8999999999999;1487.913633633997;18.221314007713712;743.9568168169985;9.110657003856856;753.0674738208554;1.527296661292589;5.283746842001462;5.290289191804017;5.148770107621157;2.6451445959020083;2.5743850538105786;5.219529649712587;2.377928791211684;0.4793749878010235
TestProject;25.08.1987;TestProject_00__TESTSIMULATION;1.6640877530533713;1.1623627450980396;1264.0500000000004;754.0999999999999;1503.9452031576054;19.595360335157405;751.9726015788027;9.797680167578703;761.7702817463814;1.4810704823441332;5.236231110217506;3.6906628025897086;3.7013421059217233;1.8453314012948543;1.8506710529608617;3.6960024542557157;2.377928791211684;0.4793749878010235
TestProject;26.08.1987;TestProject_00__TESTSIMULATION;1.6722272879370923;1.1655140056022413;1271.0500000000004;757.0999999999999;1512.241065394153;20.35544654718971;756.1205326970766;10.177723273594856;766.2982559706714;1.4425626498031858;5.161671107406894;2.40903828421932;2.4850388476395966;1.20451914210966;1.2425194238197983;2.447038565929458;2.377928791211684;0.4793749878010235
TestProject;27.08.1987;TestProject_00__TESTSIMULATION;1.6792040321231387;1.1676148459383757;1277.0500000000004;759.0999999999999;1516.7109112205085;20.79780558101025;758.3554556102542;10.398902790505124;768.7543584007593;1.4079411462079094;5.073430091313308;3.1367401700196194;3.3153305398817157;1.5683700850098097;1.6576652699408578;3.2260353549506675;2.377928791211684;0.4793749878010235
TestProject;28.08.1987;TestProject_00__TESTSIMULATION;1.6877505437510456;1.171133753501401;1284.4000000000003;762.4499999999999;1524.9611185496135;21.58100367660924;762.4805592748068;10.79050183830462;773.2710611131114;1.3703491176041582;5.0008316986046175;3.2920774564449884;3.5693562996519343;1.6460387282224942;1.7846781498259672;3.4307168780484614;2.377928791211684;0.4793749878010235
TestProject;29.08.1987;TestProject_00__TESTSIMULATION;1.6972272879370922;1.1754929971988801;1292.5500000000004;766.5999999999999;1533.663791161528;22.434176516352633;766.831895580764;11.217088258176316;778.0489838389403;1.3315682375759605;4.927354445458411;4.202301818755288;4.683652189094404;2.101150909377644;2.341826094547202;4.442977003924845;2.377928791211684;0.4793749878010235
TestProject;30.08.1987;TestProject_00__TESTSIMULATION;1.709145892588255;1.1820581232493004;1302.8000000000004;772.8499999999999;1547.1343373235031;23.862035224429256;773.5671686617516;11.931017612214628;785.4981862739662;1.2894019100527219;4.884306598395769;4.413104055909352;5.07570669310482;2.206552027954676;2.53785334655241;4.744405374507086;2.377928791211684;0.4793749878010235
TestProject;31.08.1987;TestProject_00__TESTSIMULATION;1.7193784507277898;1.187100140056023;1311.6000000000004;777.6499999999999;1559.6992915565606;25.211768102654464;779.8496457782803;12.605884051327232;792.4555298296076;1.2512356135151612;4.8452581393735175;4.037252527956442;4.791888488252382;2.018626263978221;2.395944244126191;4.414570508104411;2.377928791211684;0.4793749878010235
TestProject;01.09.1987;TestProject_00__TESTSIMULATION;1.731006357704534;1.1934026610644264;1321.6000000000004;783.6499999999999;1572.1923956938506;26.644121542309456;786.0961978469253;13.322060771154728;799.41825861808;1.2120302309583528;4.8043866819061005;3.410978212633502;4.178828083682849;1.705489106316751;2.0894140418414247;3.7949031481581756;2.377928791211684;0.4793749878010235
TestProject;02.09.1987;TestProject_00__TESTSIMULATION;1.7415877530533712;1.1987598039215692;1330.7000000000003;788.7499999999999;1581.323903696706;27.704558719224114;790.661951848353;13.852279359612057;804.5142312079652;1.1755077199988078;4.740790980273287;2.4979733183902115;3.1553217132510216;1.2489866591951058;1.5776608566255108;2.826647515820617;2.377928791211684;0.4793749878010235
